Reynolds Number: 28
Epoch 0, LR: 1.0000e-02, Loss: 1.2261e+00, Data Loss: 1.2261e+00, Physics Loss: 2.4022e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 2.6890e-01, Data Loss: 2.6813e-01, Physics Loss: 7.6662e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 2.8221e-01, Data Loss: 2.7072e-01, Physics Loss: 1.1484e-02 
Epoch 3000, LR: 1.0000e-02, Loss: 2.5662e-01, Data Loss: 2.5487e-01, Physics Loss: 1.7447e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 2.5903e-01, Data Loss: 2.5195e-01, Physics Loss: 7.0853e-03 
Epoch 5000, LR: 1.0000e-02, Loss: 2.6892e-01, Data Loss: 2.6854e-01, Physics Loss: 3.8047e-04 
Epoch 6000, LR: 1.0000e-02, Loss: 2.6012e-01, Data Loss: 2.5919e-01, Physics Loss: 9.2828e-04 
Epoch 7000, LR: 1.0000e-02, Loss: 2.5053e-01, Data Loss: 2.4618e-01, Physics Loss: 4.3593e-03 
Epoch 8000, LR: 1.0000e-03, Loss: 2.5085e-01, Data Loss: 2.3654e-01, Physics Loss: 1.4314e-02 
Epoch 9000, LR: 1.0000e-03, Loss: 1.8543e-01, Data Loss: 1.8094e-01, Physics Loss: 4.4890e-03 
Epoch 10000, LR: 1.0000e-03, Loss: 1.8918e-01, Data Loss: 1.8024e-01, Physics Loss: 8.9456e-03 
Epoch 11000, LR: 1.0000e-03, Loss: 2.7244e-01, Data Loss: 2.7132e-01, Physics Loss: 1.1212e-03 
Epoch 12000, LR: 1.0000e-03, Loss: 1.9487e-01, Data Loss: 1.9211e-01, Physics Loss: 2.7566e-03 
Epoch 13000, LR: 1.0000e-03, Loss: 1.7124e-01, Data Loss: 1.6725e-01, Physics Loss: 3.9842e-03 
Epoch 14000, LR: 1.0000e-03, Loss: 1.8419e-01, Data Loss: 1.6602e-01, Physics Loss: 1.8164e-02 
Epoch 15000, LR: 1.0000e-03, Loss: 2.7945e-01, Data Loss: 2.7836e-01, Physics Loss: 1.0911e-03 
Epoch 16000, LR: 1.0000e-04, Loss: 2.1606e-01, Data Loss: 2.0827e-01, Physics Loss: 7.7876e-03 
Epoch 17000, LR: 1.0000e-04, Loss: 1.9820e-01, Data Loss: 1.9331e-01, Physics Loss: 4.8879e-03 
Epoch 18000, LR: 1.0000e-04, Loss: 1.7916e-01, Data Loss: 1.7513e-01, Physics Loss: 4.0360e-03 
Epoch 19000, LR: 1.0000e-04, Loss: 1.7129e-01, Data Loss: 1.6816e-01, Physics Loss: 3.1280e-03 
Epoch 20000, LR: 1.0000e-04, Loss: 1.6710e-01, Data Loss: 1.6439e-01, Physics Loss: 2.7088e-03 
Epoch 21000, LR: 1.0000e-04, Loss: 1.6422e-01, Data Loss: 1.6232e-01, Physics Loss: 1.9065e-03 
Epoch 22000, LR: 1.0000e-04, Loss: 1.6328e-01, Data Loss: 1.6144e-01, Physics Loss: 1.8427e-03 
Epoch 23000, LR: 1.0000e-04, Loss: 1.6244e-01, Data Loss: 1.6083e-01, Physics Loss: 1.6105e-03 
Epoch 24000, LR: 1.0000e-05, Loss: 1.6184e-01, Data Loss: 1.6033e-01, Physics Loss: 1.5082e-03 
Epoch 25000, LR: 1.0000e-05, Loss: 1.6172e-01, Data Loss: 1.6026e-01, Physics Loss: 1.4626e-03 
Epoch 26000, LR: 1.0000e-05, Loss: 1.6161e-01, Data Loss: 1.6015e-01, Physics Loss: 1.4532e-03 
Epoch 27000, LR: 1.0000e-05, Loss: 1.6143e-01, Data Loss: 1.6000e-01, Physics Loss: 1.4351e-03 
Epoch 28000, LR: 1.0000e-05, Loss: 1.6118e-01, Data Loss: 1.5977e-01, Physics Loss: 1.4048e-03 
Epoch 29000, LR: 1.0000e-05, Loss: 1.6086e-01, Data Loss: 1.5950e-01, Physics Loss: 1.3640e-03 
Epoch 30000, LR: 1.0000e-05, Loss: 1.6055e-01, Data Loss: 1.5924e-01, Physics Loss: 1.3162e-03 
Epoch 31000, LR: 1.0000e-05, Loss: 1.6027e-01, Data Loss: 1.5899e-01, Physics Loss: 1.2812e-03 
Epoch 32000, LR: 1.0000e-06, Loss: 1.5997e-01, Data Loss: 1.5874e-01, Physics Loss: 1.2310e-03 
Epoch 33000, LR: 1.0000e-06, Loss: 1.5994e-01, Data Loss: 1.5871e-01, Physics Loss: 1.2260e-03 
Epoch 34000, LR: 1.0000e-06, Loss: 1.5989e-01, Data Loss: 1.5867e-01, Physics Loss: 1.2192e-03 
Epoch 35000, LR: 1.0000e-06, Loss: 1.5982e-01, Data Loss: 1.5861e-01, Physics Loss: 1.2099e-03 
Epoch 36000, LR: 1.0000e-06, Loss: 1.5973e-01, Data Loss: 1.5853e-01, Physics Loss: 1.1969e-03 
Epoch 37000, LR: 1.0000e-06, Loss: 1.5961e-01, Data Loss: 1.5843e-01, Physics Loss: 1.1817e-03 
Epoch 38000, LR: 1.0000e-06, Loss: 1.5949e-01, Data Loss: 1.5833e-01, Physics Loss: 1.1665e-03 
Epoch 39000, LR: 1.0000e-06, Loss: 1.5938e-01, Data Loss: 1.5823e-01, Physics Loss: 1.1530e-03 
Epoch 40000, LR: 1.0000e-07, Loss: 1.5927e-01, Data Loss: 1.5813e-01, Physics Loss: 1.1403e-03 
Epoch 41000, LR: 1.0000e-07, Loss: 1.5925e-01, Data Loss: 1.5812e-01, Physics Loss: 1.1389e-03 
Epoch 42000, LR: 1.0000e-07, Loss: 1.5924e-01, Data Loss: 1.5810e-01, Physics Loss: 1.1369e-03 
Epoch 43000, LR: 1.0000e-07, Loss: 1.5922e-01, Data Loss: 1.5808e-01, Physics Loss: 1.1347e-03 
