Reynolds Number: 68
Epoch 0, LR: 1.0000e-02, Loss: 9.5307e-01, Data Loss: 9.5305e-01, Physics Loss: 2.3380e-05 
Epoch 1000, LR: 1.0000e-02, Loss: 1.3752e-01, Data Loss: 1.3711e-01, Physics Loss: 4.0953e-04 
Epoch 2000, LR: 1.0000e-02, Loss: 1.4291e-01, Data Loss: 1.3991e-01, Physics Loss: 2.9958e-03 
Epoch 3000, LR: 1.0000e-02, Loss: 1.4207e-01, Data Loss: 1.4103e-01, Physics Loss: 1.0339e-03 
Epoch 4000, LR: 1.0000e-02, Loss: 1.5760e-01, Data Loss: 1.5709e-01, Physics Loss: 5.0700e-04 
Epoch 5000, LR: 1.0000e-02, Loss: 1.3313e-01, Data Loss: 1.3162e-01, Physics Loss: 1.5074e-03 
Epoch 6000, LR: 1.0000e-02, Loss: 1.0168e-01, Data Loss: 9.8719e-02, Physics Loss: 2.9638e-03 
Epoch 7000, LR: 1.0000e-02, Loss: 3.9468e-02, Data Loss: 2.8075e-02, Physics Loss: 1.1392e-02 
Epoch 8000, LR: 1.0000e-03, Loss: 1.0447e-02, Data Loss: 1.8908e-03, Physics Loss: 8.5561e-03 
Epoch 9000, LR: 1.0000e-03, Loss: 1.6233e-03, Data Loss: 1.0913e-03, Physics Loss: 5.3202e-04 
Epoch 10000, LR: 1.0000e-03, Loss: 1.1939e-03, Data Loss: 8.2460e-04, Physics Loss: 3.6934e-04 
Epoch 11000, LR: 1.0000e-03, Loss: 8.6760e-04, Data Loss: 6.1603e-04, Physics Loss: 2.5156e-04 
Epoch 12000, LR: 1.0000e-03, Loss: 6.1964e-04, Data Loss: 4.4419e-04, Physics Loss: 1.7546e-04 
Epoch 13000, LR: 1.0000e-03, Loss: 6.1580e-04, Data Loss: 3.4940e-04, Physics Loss: 2.6640e-04 
Epoch 14000, LR: 1.0000e-03, Loss: 3.6521e-04, Data Loss: 2.6624e-04, Physics Loss: 9.8965e-05 
Epoch 15000, LR: 1.0000e-03, Loss: 6.8227e-04, Data Loss: 2.3793e-04, Physics Loss: 4.4433e-04 
Epoch 16000, LR: 1.0000e-04, Loss: 3.5346e-04, Data Loss: 1.9597e-04, Physics Loss: 1.5748e-04 
Epoch 17000, LR: 1.0000e-04, Loss: 2.4513e-04, Data Loss: 1.8735e-04, Physics Loss: 5.7776e-05 
Epoch 18000, LR: 1.0000e-04, Loss: 2.3746e-04, Data Loss: 1.8197e-04, Physics Loss: 5.5493e-05 
Epoch 19000, LR: 1.0000e-04, Loss: 2.2591e-04, Data Loss: 1.7396e-04, Physics Loss: 5.1952e-05 
Epoch 20000, LR: 1.0000e-04, Loss: 2.0914e-04, Data Loss: 1.6226e-04, Physics Loss: 4.6879e-05 
Epoch 21000, LR: 1.0000e-04, Loss: 1.8770e-04, Data Loss: 1.4689e-04, Physics Loss: 4.0813e-05 
Epoch 22000, LR: 1.0000e-04, Loss: 1.6907e-04, Data Loss: 1.3325e-04, Physics Loss: 3.5819e-05 
Epoch 23000, LR: 1.0000e-04, Loss: 1.5359e-04, Data Loss: 1.2129e-04, Physics Loss: 3.2292e-05 
Epoch 24000, LR: 1.0000e-05, Loss: 1.3964e-04, Data Loss: 1.1044e-04, Physics Loss: 2.9202e-05 
Epoch 25000, LR: 1.0000e-05, Loss: 1.3796e-04, Data Loss: 1.0910e-04, Physics Loss: 2.8868e-05 
Epoch 26000, LR: 1.0000e-05, Loss: 1.3538e-04, Data Loss: 1.0701e-04, Physics Loss: 2.8374e-05 
Epoch 27000, LR: 1.0000e-05, Loss: 1.3135e-04, Data Loss: 1.0374e-04, Physics Loss: 2.7608e-05 
Epoch 28000, LR: 1.0000e-05, Loss: 1.2528e-04, Data Loss: 9.8808e-05, Physics Loss: 2.6470e-05 
Epoch 29000, LR: 1.0000e-05, Loss: 1.1711e-04, Data Loss: 9.2163e-05, Physics Loss: 2.4946e-05 
Epoch 30000, LR: 1.0000e-05, Loss: 1.0942e-04, Data Loss: 8.5905e-05, Physics Loss: 2.3515e-05 
Epoch 31000, LR: 1.0000e-05, Loss: 1.0259e-04, Data Loss: 8.0333e-05, Physics Loss: 2.2253e-05 
Epoch 32000, LR: 1.0000e-06, Loss: 9.6379e-05, Data Loss: 7.5278e-05, Physics Loss: 2.1100e-05 
Epoch 33000, LR: 1.0000e-06, Loss: 9.5660e-05, Data Loss: 7.4695e-05, Physics Loss: 2.0964e-05 
Epoch 34000, LR: 1.0000e-06, Loss: 9.4627e-05, Data Loss: 7.3864e-05, Physics Loss: 2.0763e-05 
Epoch 35000, LR: 1.0000e-06, Loss: 9.3233e-05, Data Loss: 7.2748e-05, Physics Loss: 2.0484e-05 
Epoch 36000, LR: 1.0000e-06, Loss: 9.1483e-05, Data Loss: 7.1354e-05, Physics Loss: 2.0128e-05 
Epoch 37000, LR: 1.0000e-06, Loss: 8.9449e-05, Data Loss: 6.9737e-05, Physics Loss: 1.9712e-05 
Epoch 38000, LR: 1.0000e-06, Loss: 8.7392e-05, Data Loss: 6.8096e-05, Physics Loss: 1.9296e-05 
Epoch 39000, LR: 1.0000e-06, Loss: 8.5435e-05, Data Loss: 6.6529e-05, Physics Loss: 1.8906e-05 
Epoch 40000, LR: 1.0000e-07, Loss: 8.3566e-05, Data Loss: 6.5030e-05, Physics Loss: 1.8536e-05 
Epoch 41000, LR: 1.0000e-07, Loss: 8.3362e-05, Data Loss: 6.4867e-05, Physics Loss: 1.8495e-05 
Epoch 42000, LR: 1.0000e-07, Loss: 8.3135e-05, Data Loss: 6.4687e-05, Physics Loss: 1.8448e-05 
Epoch 43000, LR: 1.0000e-07, Loss: 8.2893e-05, Data Loss: 6.4496e-05, Physics Loss: 1.8397e-05 
Epoch 44000, LR: 1.0000e-07, Loss: 8.2642e-05, Data Loss: 6.4298e-05, Physics Loss: 1.8345e-05 
Epoch 45000, LR: 1.0000e-07, Loss: 8.2388e-05, Data Loss: 6.4096e-05, Physics Loss: 1.8292e-05 
Epoch 46000, LR: 1.0000e-07, Loss: 8.2133e-05, Data Loss: 6.3892e-05, Physics Loss: 1.8241e-05 
Epoch 47000, LR: 1.0000e-07, Loss: 8.1878e-05, Data Loss: 6.3688e-05, Physics Loss: 1.8190e-05 
Epoch 48000, LR: 1.0000e-08, Loss: 8.1626e-05, Data Loss: 6.3483e-05, Physics Loss: 1.8142e-05 
Epoch 49000, LR: 1.0000e-08, Loss: 8.1614e-05, Data Loss: 6.3473e-05, Physics Loss: 1.8141e-05 
Mean L2 Error: 4.1254e+00 
Relative L2 Error: 6.8988e-02 
